epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.2887,1.86679,2.40692,2.27706,0.61189,0.01642,0.00742,0.00211,2.63353,16.9117,4.40971,0.00273187,0.00273187,0.0754132
2,268.821,1.90888,2.35302,2.30427,0.45132,0.1149,0.03878,0.0099,2.41141,5.77517,3.33174,0.00521197,0.00521197,0.0504059
3,471.365,1.83279,2.24155,2.20485,0.00466,0.10066,0.00381,0.00123,2.61844,81.459,3.39066,0.00742261,0.00742261,0.0251292
4,642.002,1.78078,2.16448,2.17069,0.65059,0.06708,0.02411,0.00847,2.32374,3.81016,2.78548,0.00852954,0.00852954,0.00852954
5,879.007,1.71861,2.05539,2.08201,0.55509,0.1307,0.11703,0.05896,1.98701,3.16547,2.56073,0.00803938,0.00803938,0.00803938
6,1057.15,1.67897,2.01145,2.04249,0.74095,0.1403,0.17813,0.07966,2.02124,2.34808,2.57011,0.00754922,0.00754922,0.00754922
7,1238.29,1.62749,1.9424,1.9789,0.65181,0.14535,0.17716,0.10094,1.86121,2.27242,2.40331,0.00705907,0.00705907,0.00705907
8,1423.62,1.60139,1.88563,1.96267,0.45375,0.24688,0.19908,0.10716,1.79719,2.12305,2.23607,0.00656891,0.00656891,0.00656891
9,1599.39,1.55033,1.79053,1.90068,0.29675,0.2697,0.11727,0.05902,1.94088,2.41792,2.42108,0.00607876,0.00607876,0.00607876
10,1790.54,1.53029,1.75541,1.88931,0.30282,0.34038,0.25693,0.1481,1.7246,1.87746,2.10508,0.0055886,0.0055886,0.0055886
11,1988.05,1.50051,1.71515,1.85087,0.55612,0.29475,0.27766,0.15938,1.77732,1.90254,2.17746,0.00509845,0.00509845,0.00509845
12,2195.64,1.46518,1.65688,1.81821,0.3071,0.32418,0.27518,0.16751,1.61938,1.83424,1.98652,0.00460829,0.00460829,0.00460829
13,2402.35,1.45319,1.63729,1.80134,0.497,0.36176,0.32434,0.18804,1.69599,1.79806,2.05364,0.00411814,0.00411814,0.00411814
14,2591.04,1.44054,1.59643,1.78985,0.33276,0.3695,0.33106,0.20005,1.59149,1.80735,1.96517,0.00362798,0.00362798,0.00362798
15,2785.68,1.52487,1.70458,1.93686,0.33078,0.34994,0.31974,0.1969,1.61762,1.82713,2.00599,0.00313783,0.00313783,0.00313783
16,2983.83,1.48676,1.63386,1.88627,0.39955,0.38966,0.37672,0.23509,1.52152,1.61712,1.88543,0.00264767,0.00264767,0.00264767
17,3154.5,1.45933,1.58177,1.85659,0.39112,0.42219,0.37906,0.23658,1.50505,1.54274,1.85305,0.00215752,0.00215752,0.00215752
18,3318.34,1.43306,1.54064,1.82229,0.61639,0.40165,0.39463,0.25452,1.5198,1.56529,1.90026,0.00166737,0.00166737,0.00166737
19,3505.13,1.39981,1.5069,1.80074,0.46466,0.40272,0.39604,0.2548,1.52071,1.56438,1.87219,0.00117721,0.00117721,0.00117721
20,3668.51,1.37135,1.47089,1.76769,0.41574,0.44596,0.427,0.27678,1.46223,1.47796,1.81745,0.000687055,0.000687055,0.000687055
