epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5541.99,0.83685,0.69461,1.09955,0.7527,0.63599,0.67941,0.51431,1.27563,1.34228,1.42187,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032
31,5695.55,0.82319,0.67151,1.0871,0.7305,0.66374,0.68222,0.51258,1.28903,1.36884,1.43798,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
32,5867.86,0.81258,0.66851,1.08464,0.74018,0.66947,0.68699,0.51885,1.25585,1.33495,1.41753,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034
33,6024.79,0.8149,0.65973,1.08134,0.76909,0.64603,0.6906,0.52054,1.26464,1.32766,1.41208,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
34,6188.31,0.80884,0.65259,1.08318,0.75385,0.63025,0.67425,0.50854,1.29726,1.39352,1.44856,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036
35,6343.53,0.80163,0.64003,1.06775,0.74273,0.65208,0.68623,0.51739,1.27279,1.34797,1.43767,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
36,6533.34,0.80447,0.64219,1.06966,0.72537,0.64352,0.66926,0.50777,1.27819,1.36665,1.42921,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038
37,6744.95,0.78819,0.62468,1.06392,0.73833,0.6495,0.67315,0.51603,1.29201,1.35562,1.44748,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
38,6942.29,0.786,0.6134,1.06571,0.73323,0.65713,0.6837,0.51884,1.26566,1.31576,1.43249,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041
39,7131.33,0.771,0.60679,1.05794,0.75481,0.62306,0.66907,0.51427,1.29981,1.36046,1.44633,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
40,7300.2,0.77573,0.60615,1.05618,0.72481,0.65167,0.66905,0.50985,1.2889,1.33202,1.44015,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043
41,7509.58,0.76896,0.59462,1.05611,0.73799,0.65416,0.67918,0.51926,1.28659,1.37179,1.44802,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
42,7725.26,0.75555,0.58725,1.04956,0.71225,0.65809,0.67167,0.51057,1.30949,1.37353,1.45914,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045
43,7902.25,0.75371,0.57613,1.04326,0.68402,0.67306,0.6553,0.49691,1.30602,1.4275,1.45446,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
44,8065.71,0.74601,0.57287,1.04237,0.72669,0.65594,0.67836,0.51851,1.28972,1.37808,1.45498,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047
45,8268.6,0.74519,0.56457,1.04083,0.72795,0.6577,0.67856,0.51318,1.298,1.37306,1.44547,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
46,8429.65,0.74139,0.56704,1.03951,0.73033,0.6403,0.66836,0.51266,1.30768,1.40747,1.46345,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049
47,8569.94,0.73605,0.55784,1.03584,0.74543,0.65326,0.68711,0.52319,1.29771,1.4044,1.46264,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
48,8771.45,0.72809,0.54885,1.03353,0.72574,0.65439,0.67169,0.51643,1.2969,1.3805,1.46817,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052
49,8982.9,0.722,0.54915,1.02765,0.73548,0.6412,0.68379,0.52778,1.27352,1.41812,1.44709,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
