epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,13270.3,0.85341,0.73979,1.11805,0.69055,0.65034,0.66299,0.4997,1.29831,1.36016,1.4328,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032
31,13342.2,0.83732,0.7179,1.10153,0.71628,0.64011,0.65578,0.49274,1.28996,1.38258,1.43263,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
32,13406.4,0.82844,0.71051,1.10012,0.72014,0.64092,0.66415,0.49725,1.28877,1.38205,1.43448,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034
33,13470.9,0.82583,0.71004,1.09335,0.71291,0.64053,0.66396,0.49522,1.31543,1.39517,1.46055,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
34,13535.4,0.82416,0.69277,1.09702,0.69688,0.65041,0.66834,0.50058,1.29625,1.37653,1.44195,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036
35,13599.7,0.80924,0.68613,1.08275,0.67518,0.65514,0.65689,0.49216,1.29878,1.3873,1.45669,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
36,13664.6,0.81611,0.67883,1.08777,0.70445,0.65466,0.65423,0.49072,1.30528,1.3918,1.45732,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038
37,13728.4,0.80679,0.66621,1.08278,0.731,0.62366,0.65291,0.48851,1.31191,1.40629,1.46363,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
38,13792.1,0.79869,0.66072,1.08149,0.71593,0.63378,0.65834,0.49648,1.30544,1.37999,1.46152,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041
39,13856.3,0.77909,0.64784,1.06927,0.72698,0.64033,0.65533,0.49381,1.31047,1.40852,1.46971,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
40,13919.7,0.78692,0.64885,1.06607,0.70633,0.65096,0.65965,0.49447,1.3229,1.41199,1.47559,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043
41,13983.7,0.77599,0.63927,1.06787,0.74624,0.63186,0.6721,0.50202,1.30223,1.39687,1.46734,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
42,14047.1,0.77152,0.63015,1.06579,0.69199,0.65691,0.66101,0.49516,1.31984,1.38624,1.49034,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045
43,14110.7,0.76799,0.62222,1.06222,0.7079,0.62866,0.6556,0.49627,1.29829,1.43968,1.44643,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
44,14175.5,0.75902,0.6179,1.05613,0.70524,0.65091,0.67042,0.50479,1.31247,1.42289,1.48543,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047
45,14240.1,0.76182,0.60883,1.05572,0.74343,0.62678,0.65626,0.49789,1.3154,1.40524,1.48036,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
46,14304.1,0.75846,0.6081,1.05457,0.712,0.6347,0.64508,0.4881,1.3303,1.47305,1.49806,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049
47,14379.7,0.75391,0.60086,1.05437,0.7599,0.61582,0.66003,0.49721,1.31288,1.41989,1.47548,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
48,14444.1,0.74157,0.59487,1.04958,0.74445,0.60905,0.65432,0.49777,1.3069,1.43878,1.46339,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052
49,14509,0.7397,0.58745,1.0458,0.75044,0.63734,0.66537,0.49897,1.32156,1.41994,1.47822,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
50,14573.6,0.72921,0.57429,1.03965,0.74031,0.6337,0.66558,0.5015,1.30416,1.44697,1.46059,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054
51,14650.8,0.7192,0.56869,1.03506,0.70225,0.65284,0.65864,0.49535,1.317,1.46177,1.48724,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
52,14715.4,0.71398,0.5706,1.03901,0.70044,0.64998,0.65492,0.49792,1.32409,1.4369,1.47756,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056
53,14778.9,0.73157,0.57972,1.0393,0.70656,0.64896,0.64398,0.4849,1.31765,1.44323,1.47947,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
54,14842.3,0.72197,0.56174,1.03055,0.69075,0.66623,0.65889,0.50059,1.30965,1.44875,1.46999,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058
55,14906.2,0.71374,0.56248,1.03006,0.71077,0.64757,0.65936,0.49725,1.33406,1.43447,1.49782,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059
56,14969.8,0.71293,0.55959,1.02985,0.71642,0.64198,0.66083,0.50206,1.32456,1.42703,1.49222,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606
57,15033.4,0.71307,0.55498,1.02615,0.7259,0.64165,0.65788,0.49953,1.34172,1.46997,1.49612,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
58,15097.4,0.70281,0.54729,1.02289,0.70995,0.65578,0.66331,0.50136,1.33686,1.428,1.49988,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063
59,15173.8,0.70241,0.54468,1.02685,0.70859,0.64311,0.65996,0.49409,1.33927,1.44655,1.52368,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
60,15238.2,0.70174,0.53441,1.02265,0.72742,0.64441,0.66738,0.49885,1.33867,1.43741,1.51336,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065
61,15303.1,0.68461,0.52604,1.01572,0.71305,0.6482,0.66598,0.50418,1.31913,1.42667,1.48776,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
62,15367.5,0.69077,0.53078,1.01999,0.72028,0.65335,0.66668,0.50434,1.32719,1.41247,1.50681,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067
63,15432,0.67868,0.52873,1.01245,0.69351,0.6644,0.66406,0.50101,1.34163,1.41715,1.51911,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
64,15496.5,0.68076,0.5266,1.00815,0.71831,0.65491,0.65961,0.49983,1.33575,1.4448,1.52045,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069
65,15560.9,0.67877,0.52364,1.01444,0.73567,0.64748,0.66711,0.50332,1.31151,1.42842,1.48478,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
66,15626.2,0.66434,0.50701,1.00305,0.75255,0.63451,0.66517,0.50571,1.31999,1.41797,1.49325,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071
67,15702.6,0.67299,0.51187,1.00775,0.73949,0.63801,0.66194,0.50202,1.31139,1.40882,1.48945,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
68,15766.3,0.66526,0.51357,1.00503,0.7316,0.64236,0.67131,0.50685,1.31957,1.40009,1.50233,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074
69,15830.2,0.65866,0.50309,1.00625,0.72486,0.66158,0.67436,0.51072,1.30854,1.42135,1.4909,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
70,15893.9,0.65559,0.50632,1.00049,0.73025,0.63692,0.6582,0.49879,1.31745,1.42972,1.50665,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076
71,15958.1,0.656,0.50239,1.00309,0.75293,0.63073,0.66873,0.50363,1.32095,1.42149,1.50335,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
72,16022.5,0.64759,0.50073,0.99855,0.74285,0.64062,0.66482,0.50268,1.31714,1.42637,1.50567,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078
73,16086.4,0.64759,0.49157,0.99989,0.76267,0.63336,0.66808,0.5064,1.2995,1.43061,1.47911,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
74,16150.6,0.65053,0.48573,0.99171,0.73916,0.64482,0.66356,0.50027,1.319,1.45224,1.49934,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808
75,16215.1,0.6413,0.48555,0.99575,0.73806,0.64054,0.66719,0.50282,1.3162,1.46872,1.49668,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
76,16280,0.64083,0.48573,0.98892,0.73787,0.65289,0.66352,0.50722,1.3081,1.43686,1.4991,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083
77,16344.4,0.63983,0.47946,0.99096,0.73273,0.63575,0.66099,0.50385,1.32043,1.46517,1.51226,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
78,16408.6,0.64076,0.48232,0.99367,0.71688,0.65319,0.66779,0.50887,1.30437,1.45029,1.49458,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085
79,16473,0.62862,0.47455,0.98485,0.72763,0.66354,0.67421,0.51026,1.32166,1.42878,1.51416,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
80,16538,0.62676,0.46922,0.98172,0.73789,0.64915,0.66584,0.50723,1.32036,1.44981,1.50595,0.000726261,0.000242087,0.000726261,0.000242087,0.000726261,0.000242087,0.000726261,0.000242087
81,16601.6,0.6345,0.47991,0.98655,0.76105,0.64225,0.66894,0.50682,1.32159,1.45607,1.51482,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
82,16667,0.63676,0.47669,0.98934,0.76385,0.63814,0.66752,0.5087,1.32954,1.45273,1.5156,0.000660267,0.000220089,0.000660267,0.000220089,0.000660267,0.000220089,0.000660267,0.000220089
83,16730.7,0.62861,0.46731,0.98163,0.76444,0.62882,0.66387,0.50767,1.33632,1.44871,1.52208,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909
84,16794.4,0.62545,0.46864,0.98544,0.75396,0.64502,0.66726,0.51058,1.32692,1.43554,1.52537,0.000594274,0.000198091,0.000594274,0.000198091,0.000594274,0.000198091,0.000594274,0.000198091
85,16857.7,0.60877,0.45632,0.97551,0.74843,0.64671,0.66291,0.50752,1.34167,1.45877,1.5271,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
86,16921.3,0.60745,0.4625,0.97901,0.75153,0.63338,0.66546,0.507,1.3447,1.4569,1.53069,0.000528281,0.000176094,0.000528281,0.000176094,0.000528281,0.000176094,0.000528281,0.000176094
87,16984.7,0.60715,0.45964,0.97581,0.75764,0.63709,0.66667,0.50833,1.338,1.4526,1.53102,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095
88,17048.4,0.61459,0.45347,0.97591,0.73743,0.65292,0.66548,0.50878,1.33797,1.4439,1.53205,0.000462287,0.000154096,0.000462287,0.000154096,0.000462287,0.000154096,0.000462287,0.000154096
89,17112,0.61295,0.45767,0.97952,0.74215,0.64439,0.67043,0.51121,1.33766,1.43423,1.52896,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
90,17175.5,0.60829,0.45269,0.9807,0.74304,0.64964,0.66697,0.50921,1.34081,1.44497,1.53606,0.000396294,0.000132098,0.000396294,0.000132098,0.000396294,0.000132098,0.000396294,0.000132098
