epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.774,1.45917,3.13347,1.9944,0.31184,0.0985,0.02895,0.00847,2.08869,15.6642,3.03556,0.000926488,0.000926488,0.0738362
2,269.176,1.5353,3.06666,2.13257,0.33304,0.18903,0.09698,0.03496,1.89175,5.04908,2.787,0.00176683,0.00176683,0.047419
3,448.335,1.49547,2.91453,2.06856,0.33991,0.23716,0.10753,0.04827,1.88172,4.16274,2.72894,0.00251501,0.00251501,0.0209097
4,640.684,1.44562,2.78893,1.99474,0.42346,0.25428,0.18865,0.09664,1.61197,3.61026,2.26292,0.00291288,0.00291288,0.00291288
5,821.758,1.3873,2.63376,1.93787,0.47756,0.34913,0.29844,0.18057,1.61963,2.97611,2.24876,0.00274384,0.00274384,0.00274384
6,1019.34,1.34261,2.56317,1.89528,0.34531,0.37783,0.35266,0.22702,1.46727,2.79128,2.08491,0.0025748,0.0025748,0.0025748
7,1201.55,1.29842,2.43129,1.83957,0.54935,0.29756,0.29088,0.16295,1.57879,3.13051,2.3472,0.00240576,0.00240576,0.00240576
8,1414.61,1.28429,2.36565,1.8212,0.57492,0.37284,0.35413,0.24105,1.4671,2.85057,2.11908,0.00223672,0.00223672,0.00223672
9,1622.73,1.22101,2.24372,1.74687,0.51762,0.41351,0.4194,0.28271,1.31429,2.37376,1.88359,0.00206768,0.00206768,0.00206768
10,1867.08,1.21754,2.21186,1.73939,0.45787,0.42945,0.41001,0.2645,1.3737,2.47019,1.96357,0.00189864,0.00189864,0.00189864
11,2082.49,1.16952,2.1176,1.70124,0.4669,0.45816,0.43544,0.30387,1.29246,2.31769,1.82609,0.0017296,0.0017296,0.0017296
12,2287.57,1.17045,2.07878,1.69592,0.55277,0.47636,0.47551,0.32777,1.27658,2.17073,1.821,0.00156056,0.00156056,0.00156056
13,2488.24,1.15567,2.02888,1.66671,0.47328,0.44683,0.46235,0.30643,1.28015,2.25281,1.85069,0.00139152,0.00139152,0.00139152
14,2711.6,1.19017,2.12115,1.76014,0.47342,0.46163,0.46714,0.32464,1.22701,2.16648,1.76908,0.00122248,0.00122248,0.00122248
15,2877.32,1.16289,2.01536,1.72395,0.50563,0.5038,0.49593,0.34782,1.20514,2.03087,1.7292,0.00105344,0.00105344,0.00105344
16,3092.5,1.1222,1.95007,1.67846,0.52856,0.51912,0.52084,0.37372,1.1712,1.94692,1.68716,0.000884395,0.000884395,0.000884395
17,3282.9,1.0928,1.87072,1.64595,0.53461,0.51255,0.52856,0.37174,1.15216,1.92421,1.66498,0.000715355,0.000715355,0.000715355
18,3457.9,1.06124,1.77766,1.61337,0.57262,0.54283,0.54023,0.38277,1.16795,1.88948,1.69251,0.000546314,0.000546314,0.000546314
19,3637.47,1.04252,1.72574,1.59373,0.59457,0.53334,0.5521,0.40068,1.1045,1.81288,1.61161,0.000377274,0.000377274,0.000377274
20,3828.03,1.01046,1.66632,1.55994,0.5919,0.56217,0.57045,0.41427,1.08459,1.74677,1.60279,0.000208234,0.000208234,0.000208234
