epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.125,1.24542,2.12178,2.23269,0.21191,0.13875,0.00535,0.00191,1.83744,23.7459,4.23616,0.00130006,0.00130006,0.0787688
2,312.918,1.29415,2.03607,2.27984,0.20884,0.09277,0.00568,0.00171,1.75051,5.68759,3.81436,0.00247903,0.00247903,0.0572774
3,524.162,1.2635,2.02053,2.27649,0.51579,0.11026,0.04048,0.01976,1.57002,3.4754,2.9962,0.00352851,0.00352851,0.0356565
4,691.508,1.24864,1.94941,2.24187,0.5526,0.1441,0.10848,0.05144,1.50373,3.12788,2.65267,0.00444849,0.00444849,0.0139061
5,910.041,1.19207,1.86698,2.15062,0.37552,0.23222,0.1633,0.06626,1.38713,2.37575,2.50472,0.00462754,0.00462754,0.00462754
6,1111.52,1.16685,1.80444,2.08834,0.41213,0.27834,0.23803,0.13558,1.29259,2.09974,2.42621,0.00434192,0.00434192,0.00434192
7,1346.8,1.11337,1.72756,2.02942,0.47603,0.3076,0.19958,0.11018,1.23141,2.20452,2.21471,0.00405631,0.00405631,0.00405631
8,1530.22,1.10432,1.66249,1.98512,0.48299,0.3199,0.26728,0.16865,1.21431,1.85272,2.27701,0.00377069,0.00377069,0.00377069
9,1698.92,1.06831,1.61068,1.93526,0.52464,0.29586,0.28856,0.18106,1.17748,1.76143,2.17755,0.00348508,0.00348508,0.00348508
10,1898.5,1.06181,1.58961,1.92228,0.58617,0.35369,0.33824,0.22329,1.15231,1.71931,2.12287,0.00319946,0.00319946,0.00319946
11,2099.23,1.01996,1.51844,1.88448,0.39779,0.40663,0.38509,0.25567,1.07736,1.60819,1.99504,0.00291385,0.00291385,0.00291385
12,2308.31,1.04455,1.56705,1.96259,0.51822,0.35718,0.32394,0.21959,1.11568,1.74168,2.1029,0.00262823,0.00262823,0.00262823
13,2455.74,1.05363,1.54871,1.96721,0.55599,0.34824,0.33979,0.22953,1.14917,1.71691,2.13372,0.00234262,0.00234262,0.00234262
14,2626.85,1.02087,1.49155,1.92991,0.46483,0.43099,0.41714,0.28885,1.01689,1.46826,1.90753,0.002057,0.002057,0.002057
15,2803.31,0.99539,1.44263,1.8842,0.42894,0.43184,0.42521,0.28705,1.04337,1.49241,1.93593,0.00177139,0.00177139,0.00177139
16,2971.94,0.98617,1.40432,1.86925,0.39459,0.44998,0.43608,0.30243,1.01218,1.43527,1.9147,0.00148577,0.00148577,0.00148577
17,3142.05,0.95489,1.36252,1.84023,0.58027,0.46003,0.45695,0.32601,0.98594,1.37258,1.83479,0.00120016,0.00120016,0.00120016
18,3308.6,0.92979,1.32061,1.78348,0.47485,0.45332,0.45622,0.32847,0.98063,1.39822,1.8642,0.000914545,0.000914545,0.000914545
19,3485.77,0.92199,1.29293,1.77835,0.47641,0.4824,0.47682,0.34445,0.92484,1.2984,1.74502,0.00062893,0.00062893,0.00062893
20,3684.44,0.8944,1.2582,1.7566,0.50215,0.49396,0.50221,0.36519,0.92077,1.25667,1.73937,0.000343315,0.000343315,0.000343315
