epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,141.69,1.40579,4.43597,1.9756,0.37446,0.29214,0.22464,0.16558,1.33944,3.31326,1.97209,0.000813953,0.000271318,0.000813953,0.000271318,0.000813953,0.000271318,0.000813953,0.000271318
2,328.604,1.18202,2.94614,1.74019,0.49982,0.44146,0.45448,0.36329,1.09352,2.34332,1.64746,0.00161642,0.000538807,0.00161642,0.000538807,0.00161642,0.000538807,0.00161642,0.000538807
3,514.081,1.0771,2.21474,1.59613,0.52277,0.54416,0.54481,0.43704,1.02301,1.95064,1.50872,0.0024027,0.0008009,0.0024027,0.0008009,0.0024027,0.0008009,0.0024027,0.0008009
4,727.083,0.99164,1.84958,1.49137,0.58484,0.57763,0.58518,0.46797,1.00505,1.75015,1.4759,0.00291103,0.000970344,0.00291103,0.000970344,0.00291103,0.000970344,0.00291103,0.000970344
5,943.168,0.97275,1.67581,1.44757,0.60232,0.61207,0.6237,0.497,0.96074,1.61688,1.42421,0.00288138,0.000960458,0.00288138,0.000960458,0.00288138,0.000960458,0.00288138,0.000960458
6,1142.62,0.92692,1.52945,1.40589,0.64124,0.61647,0.64957,0.51101,0.9666,1.56269,1.41053,0.00285172,0.000950573,0.00285172,0.000950573,0.00285172,0.000950573,0.00285172,0.000950573
7,1357.14,0.90088,1.42187,1.37629,0.64813,0.65625,0.66866,0.53129,0.97247,1.48927,1.4043,0.00282206,0.000940688,0.00282206,0.000940688,0.00282206,0.000940688,0.00282206,0.000940688
8,1552.74,0.88953,1.37422,1.352,0.71479,0.62484,0.66431,0.52609,0.9571,1.48275,1.3999,0.00279241,0.000930802,0.00279241,0.000930802,0.00279241,0.000930802,0.00279241,0.000930802
9,1777.33,0.87299,1.30612,1.33403,0.70944,0.63422,0.67515,0.5332,0.95534,1.49527,1.40446,0.00276275,0.000920917,0.00276275,0.000920917,0.00276275,0.000920917,0.00276275,0.000920917
10,1975.5,0.87108,1.26936,1.33222,0.70431,0.64097,0.6827,0.53738,0.95515,1.42959,1.40038,0.00273309,0.000911031,0.00273309,0.000911031,0.00273309,0.000911031,0.00273309,0.000911031
11,2252.94,0.85689,1.2151,1.32016,0.71571,0.66254,0.70424,0.54795,0.94101,1.41345,1.38177,0.00270344,0.000901146,0.00270344,0.000901146,0.00270344,0.000901146,0.00270344,0.000901146
12,2472.95,0.83771,1.18396,1.30141,0.71086,0.65868,0.70126,0.55258,0.93759,1.39293,1.38324,0.00267378,0.000891261,0.00267378,0.000891261,0.00267378,0.000891261,0.00267378,0.000891261
13,2674.08,0.83284,1.14597,1.29534,0.71509,0.67655,0.70499,0.54753,0.95365,1.38822,1.39806,0.00264413,0.000881375,0.00264413,0.000881375,0.00264413,0.000881375,0.00264413,0.000881375
