epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.516,2.12264,3.36556,2.23866,0.00038,0.05227,0.00022,6e-05,nan,nan,nan,0.00331288,0.00331288,0.070184
2,312.167,2.13707,3.24459,2.243,0.20806,0.21657,0.00453,0.00119,3.21371,41.7297,3.73216,0.00631723,0.00631723,0.0398551
3,539.31,2.05862,3.10021,2.15642,0.48608,0.12534,0.0738,0.03304,2.35388,7.16708,2.67292,0.00899157,0.00899157,0.00919607
4,709.116,1.98214,3.036,2.11683,0.71144,0.10573,0.06722,0.02595,2.51643,4.71397,2.78112,0.008515,0.008515,0.008515
5,891.789,1.93362,2.93118,2.06079,0.40045,0.19531,0.16156,0.0807,2.21652,5.8977,2.4634,0.00802,0.00802,0.00802
6,1098.64,1.88439,2.80804,2.00249,0.62646,0.21172,0.2055,0.10031,2.07245,3.70427,2.294,0.007525,0.007525,0.007525
7,1287.14,1.82577,2.70265,1.94774,0.72694,0.17932,0.21357,0.11939,2.07213,3.12084,2.2118,0.00703,0.00703,0.00703
8,1492.65,1.7915,2.65026,1.92149,0.60892,0.28554,0.25732,0.14148,2.04118,3.07617,2.25391,0.006535,0.006535,0.006535
9,1692.83,1.75128,2.56511,1.88978,0.46632,0.34021,0.29359,0.17125,1.97656,2.74108,2.09759,0.00604,0.00604,0.00604
10,1891.23,1.73977,2.51607,1.86105,0.51069,0.3165,0.28817,0.17156,1.96481,2.87149,2.11559,0.005545,0.005545,0.005545
11,2055.65,1.84977,2.66613,1.98449,0.51164,0.35133,0.28737,0.17176,1.93257,2.76762,2.04983,0.00505,0.00505,0.00505
12,2239.43,1.81868,2.52578,1.95608,0.49132,0.354,0.32133,0.19032,1.87392,2.51648,2.02213,0.004555,0.004555,0.004555
13,2399.77,1.79382,2.52019,1.94553,0.56234,0.34889,0.33957,0.21528,1.85715,2.44192,1.98064,0.00406,0.00406,0.00406
14,2601.4,1.75375,2.44229,1.92078,0.51676,0.33716,0.31323,0.19652,1.8496,2.5265,1.92141,0.003565,0.003565,0.003565
15,2750.55,1.71961,2.38002,1.87766,0.51644,0.37431,0.36593,0.23219,1.82982,2.3867,1.96917,0.00307,0.00307,0.00307
16,2928.66,1.67447,2.30481,1.83983,0.47526,0.39704,0.37858,0.24617,1.78559,2.29651,1.91361,0.002575,0.002575,0.002575
17,3121.58,1.64276,2.23875,1.81136,0.62839,0.41375,0.40973,0.27287,1.71112,2.2641,1.86261,0.00208,0.00208,0.00208
18,3312.71,1.62014,2.18675,1.78646,0.45549,0.42227,0.4211,0.27696,1.6984,2.21738,1.82871,0.001585,0.001585,0.001585
19,3475.5,1.60002,2.15981,1.75653,0.54218,0.42176,0.42789,0.28764,1.66139,2.17808,1.79547,0.00109,0.00109,0.00109
20,3696.07,1.55407,2.08871,1.72451,0.65046,0.41507,0.43589,0.29868,1.61652,2.09655,1.75673,0.000595,0.000595,0.000595
