epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.451,2.42404,3.04431,2.21358,0.00034,0.03895,0.00019,5e-05,4.13513,inf,6.5248,0.00329268,0.00329268,0.0703659
2,267.7,2.43904,2.94296,2.19659,0.21402,0.05615,0.01013,0.00278,3.12868,11.1436,3.05336,0.00627871,0.00627871,0.0402218
3,504.263,2.35246,2.85324,2.16162,0.41261,0.14335,0.00704,0.00251,2.95196,14.7748,2.79448,0.00893675,0.00893675,0.00974976
4,682.572,2.27185,2.77682,2.09702,0.51991,0.14695,0.10838,0.03392,2.74036,4.81754,2.60082,0.008515,0.008515,0.008515
5,875.918,2.17978,2.63608,2.01755,0.39769,0.16265,0.16569,0.07921,2.43035,4.39141,2.31124,0.00802,0.00802,0.00802
6,1042.74,2.15005,2.58274,1.98524,0.59372,0.19439,0.18764,0.10654,2.43847,2.94757,2.39548,0.007525,0.007525,0.007525
7,1245.37,2.10598,2.50151,1.94805,0.41819,0.25621,0.18532,0.08751,2.38874,2.75947,2.19711,0.00703,0.00703,0.00703
8,1418.16,2.0086,2.41143,1.89404,0.27229,0.29259,0.2572,0.13476,2.31504,3.02672,2.14312,0.006535,0.006535,0.006535
9,1599.41,2.00246,2.35089,1.88029,0.44401,0.29753,0.25562,0.14052,2.27428,2.56616,2.15906,0.00604,0.00604,0.00604
10,1806.28,1.95047,2.28355,1.83847,0.43004,0.31198,0.27522,0.16749,2.21959,2.73302,2.0492,0.005545,0.005545,0.005545
11,2010.91,1.92943,2.23923,1.8177,0.22496,0.36584,0.28239,0.17351,2.1847,2.47334,2.096,0.00505,0.00505,0.00505
12,2256.95,2.04947,2.36384,1.93906,0.47943,0.30268,0.27808,0.17561,2.23636,2.58488,2.15416,0.004555,0.004555,0.004555
13,2428.95,2.0144,2.22908,1.90718,0.57183,0.36864,0.35269,0.22524,2.06391,2.20258,1.94394,0.00406,0.00406,0.00406
14,2579.69,1.96149,2.19591,1.89329,0.32425,0.41192,0.34,0.21306,2.07867,2.35081,1.95783,0.003565,0.003565,0.003565
15,2770.3,1.92317,2.14021,1.85434,0.37549,0.38478,0.36164,0.23355,1.99854,2.21727,1.90194,0.00307,0.00307,0.00307
16,2929.57,1.87845,2.08904,1.83037,0.34191,0.4023,0.37943,0.25864,1.94988,2.18059,1.85528,0.002575,0.002575,0.002575
17,3089.73,1.85274,2.0429,1.8028,0.47101,0.4163,0.39386,0.24722,1.95019,2.04748,1.84447,0.00208,0.00208,0.00208
18,3289.52,1.81419,1.99957,1.76909,0.40934,0.39858,0.40974,0.27482,1.94807,2.03363,1.83676,0.001585,0.001585,0.001585
19,3488.49,1.78656,1.96508,1.74946,0.45962,0.4405,0.43489,0.29222,1.83281,1.92592,1.75895,0.00109,0.00109,0.00109
20,3706.33,1.75618,1.91839,1.73966,0.44703,0.467,0.44717,0.3034,1.83409,1.88225,1.75691,0.000595,0.000595,0.000595
